"ph","Hardness","Solids","Chloramines","Sulfate","Conductivity","Organic_carbon","Trihalomethanes","Turbidity","Potability"
0.493970385656259,0.551055297375386,0.459895527429421,0.522523398445949,0.76115256728195,0.802748254388328,0.281162373152582,0.753932326854125,0.26266465163539,"No Potable"
0,0.0772144144810969,0.411339784924639,0.438878458510868,0.497365882196474,0.86430526027497,0.548325669656763,0.371021527996056,0.625079314734133,"No Potable"
0.66096422469052,0.672522532473262,0.440085172923283,0.771039782441095,0.497365882196474,0.488891004691268,0.642308312340829,0.497039805358844,0.284538493983473,"No Potable"
0.695133532367362,0.610596184831458,0.487464004105019,0.618011874550517,0.673814666032898,0.369683907431096,0.729571215852805,0.92065812231624,0.655277595118165,"No Potable"
0.816878809074584,0.401690735597521,0.396712556082301,0.427727840422782,0.322742066807098,0.44538814672448,0.346753182630023,0.0671709378090963,0.524764099007296,"No Potable"
0.266108395587557,0.446971829882553,0.638668903941727,0.553298375419552,0.446969083613091,0.191327657874705,0.170960098741121,0.353398048949804,0.167571364573334,"No Potable"
0.994543806655474,0.822179241680624,0.638692017467897,0.549341034945594,0.949993880226008,0.198185695626871,0.470945651748392,0.724117902906627,0.194273126997433,"No Potable"
0.745228894578692,0.541455528290974,0.299952168465897,0.178215268568744,0.271482401640843,0.609523543547061,0.39158644829771,0.451810374196778,0.601689081575733,"No Potable"
0.493970385656259,0.0116999180031924,0.313735123080917,0.585915880348332,0.0111815173852954,0.425925343545318,0.41063384825181,0.341047052857474,0.411607817631207,"No Potable"
1,0.691328670476209,0.565334569007435,0.746047712372135,1,0.801836699194186,0.701257822685238,0.566430401521878,0.594414303314929,"No Potable"
0.545023711215348,0.303863526541625,0.72188277743185,0.554031987606219,0.446563499042928,0.50348976744954,0.570966524907755,0.650893040549693,0.427465359646433,"No Potable"
0.641401876855418,0.637719745515159,0.414431134224859,0.624433634291293,0.497365882196474,0.371475501038301,0.511911531376176,0.622743411438527,0.509829914494379,"No Potable"
0.507216128035857,0.248511403077139,0.413603404255227,0.0578393147283395,0.114040104851728,0.336184485606308,0.5900413746218,0.66039357045994,0.376424972392806,"No Potable"
0.493970385656259,0.207510804475244,0.606826705535486,0.464410663662411,0.242240444784549,0.405216430487144,0.781569982619947,0.623044180758154,0.604647162382031,"No Potable"
0.566311398109104,0.553909151376579,0.630565661109082,0.242310581057275,0.497365882196474,0.54498184691099,0.43970105364176,0.54549538647994,0.690307425131866,"No Potable"
0.38592692236792,0.437048641605838,0.915377294064228,0.815532697610005,0.730898596588457,0.700287809589516,0.34572363739581,0.60508147570592,0.595778225949367,"No Potable"
0.496534207368262,0.589725734757231,0.688811940383352,0.874049380465691,0.497365882196474,0.266017433814309,0.838685347751284,0.375049304753289,0.570340142366549,"No Potable"
0.830904467597033,0.983806964672412,0.532911469788769,0.472809077332128,0.985191866262736,0.616776382860736,0.448552065672327,0.559946061385023,0.625787521403588,"No Potable"
0.798547864203352,1,0.429994536113635,0.384673133112483,0.497365882196474,0.516544826600793,0.420802825237616,0.464584869686305,0.138431821431793,"No Potable"
0.546658091109515,0.611369828151178,0.568610428554328,0.161820097898302,0.515125968035526,0.599414163115708,0.399675945664654,0.45179748877978,0.167710652497597,"No Potable"
0.493970385656259,0.692606890399311,0.493915228346579,0.904128114300133,0.497365882196474,0.782308955342157,0.612423987300693,0.23432281131989,0.538517334808197,"No Potable"
0.435057913666014,0.321211363292706,0.687997821294505,0.341206769379641,0.328713034648355,0.715211430002666,0.698832807586728,0.629691912357501,0.448068962159744,"No Potable"
0.493970385656259,0.620670197772713,0.377127205546472,0.309544763284019,0.448963720948456,0.526910782691734,0.493172956194912,0.415059787921757,0.851033166600245,"No Potable"
0.00209886353432064,0.500905705841554,0.468346960400217,0.48429629863785,0.497365882196474,0.544623254691885,0.627859713121636,0.79377838318319,0.631647810651946,"No Potable"
0.237254543147099,0.148265504122943,0.380707656592972,0.869276528710377,0.459584143266014,0.605789261324837,0.329950625643076,0.378549770618093,0.701481207416808,"No Potable"
0.412168088904407,0.512609930006655,0.46949730202128,0.694944568914948,0.423824668275416,0.477440333480906,0.532741136749669,0.66472776896969,0.790132801917278,"No Potable"
0,0.570116319947103,0.74372357763876,0.708933556070194,0.877479121588159,0.538822255672364,0.471847668344693,0.0457737714388868,0.550532679154339,"No Potable"
0.493970385656259,0.179842020846462,0.289906183076874,0.598780396432988,0.276680647207057,0.231227466727662,0.411940422980798,0.286199069333347,0.508215987660907,"No Potable"
0.493970385656259,0.937389581683047,0.585070318751608,0.572820050173902,0.962956007217878,0.372298099657994,0.279446358637191,0.329552141228911,0.505079374449724,"No Potable"
0.493970385656259,0.194816062927697,0.334130780407973,0.742227860179619,0.299282770189593,0.801662781342173,0.625612443850473,0.325403618720033,0.98749581261153,"No Potable"
0.516891002758574,0.580786032843384,0.334194057308498,0.35830259604867,0.534515467336255,0.324113481732893,0.144404432100489,0.560952495639127,0.763726959590676,"No Potable"
0.93200016489651,0.462312636124056,0.434880849378696,0.454261719222097,0.497365882196474,0.562625805711358,0.644000313912708,0.255542152193497,0.237758450862451,"No Potable"
1,0.00418207389412272,0.494394315916509,0.630863971022774,0.304507256621795,0.476786314402073,0.420911327865517,0.4884652547916,0.75629031821953,"No Potable"
0.55342437363497,0.740384860505788,0.724202165822086,0.46538282520904,0.901271583445328,0.474624743094583,0.273650545987381,0.223164411883944,0.309215525456639,"No Potable"
0.493970385656259,0.723029910780521,0.3250047694687,0.292922390503575,0.497365882196474,0.414306480688725,0.380628850401572,0.742565062213131,0.749656442158795,"No Potable"
0.192591015660581,0.469822789708272,0.433592466043016,0.366608944352065,0.425627212871115,0.538741484884289,0.313816126473013,0.282469884929852,0.483988782369862,"No Potable"
0,0.41931649082246,0.548879373029979,0.300897280756321,0.1419417324795,0.571293594370535,0.206264710586584,0.586636948660315,0.380808494802258,"No Potable"
